epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
97,2036.2,0.61707,0.71357,0.99262,0.79233,0.0061984,0.0061984,0.0061984
98,2058.38,0.62289,0.71399,0.99276,0.80349,0.0061588,0.0061588,0.0061588
99,2080.31,0.61259,0.7151,0.99248,0.79965,0.0061192,0.0061192,0.0061192
100,2101.89,0.6025,0.71496,0.9922,0.79161,0.0060796,0.0060796,0.0060796
101,2123.18,0.61232,0.71594,0.99206,0.7918,0.00604,0.00604,0.00604
102,2144.8,0.60022,0.71608,0.99178,0.80195,0.0060004,0.0060004,0.0060004
103,2166.71,0.59978,0.71622,0.99192,0.79426,0.0059608,0.0059608,0.0059608
104,2188.38,0.58786,0.71636,0.99192,0.79623,0.0059212,0.0059212,0.0059212
105,2210.06,0.58947,0.71677,0.99192,0.78878,0.0058816,0.0058816,0.0058816
106,2232.46,0.58298,0.71691,0.99206,0.80053,0.005842,0.005842,0.005842
107,2254,0.58688,0.71775,0.99206,0.79604,0.0058024,0.0058024,0.0058024
108,2275.73,0.57329,0.71789,0.99206,0.79944,0.0057628,0.0057628,0.0057628
109,2297.43,0.57546,0.71719,0.99206,0.8065,0.0057232,0.0057232,0.0057232
110,2318.82,0.57109,0.71733,0.9922,0.79432,0.0056836,0.0056836,0.0056836
111,2340.47,0.57042,0.71733,0.99206,0.8134,0.005644,0.005644,0.005644
112,2362.25,0.56374,0.71719,0.99192,0.80437,0.0056044,0.0056044,0.0056044
113,2383.82,0.55248,0.71719,0.99206,0.79763,0.0055648,0.0055648,0.0055648
114,2406.12,0.54472,0.71775,0.99206,0.79735,0.0055252,0.0055252,0.0055252
115,2428.18,0.54654,0.71831,0.9922,0.80279,0.0054856,0.0054856,0.0054856
116,2449.74,0.54058,0.71691,0.99234,0.8044,0.005446,0.005446,0.005446
117,2471.13,0.53989,0.71775,0.9922,0.82012,0.0054064,0.0054064,0.0054064
118,2492.77,0.53813,0.71663,0.9922,0.81293,0.0053668,0.0053668,0.0053668
119,2514.19,0.52977,0.71552,0.99248,0.80727,0.0053272,0.0053272,0.0053272
120,2535.78,0.5285,0.71594,0.99276,0.80055,0.0052876,0.0052876,0.0052876
121,2558.46,0.52133,0.7151,0.99289,0.81151,0.005248,0.005248,0.005248
122,2578,0.51638,0.71538,0.99289,0.81257,0.0052084,0.0052084,0.0052084
123,2597.57,0.51286,0.71566,0.99248,0.82609,0.0051688,0.0051688,0.0051688
124,2619.85,0.50561,0.71468,0.99276,0.81205,0.0051292,0.0051292,0.0051292
125,2641.85,0.50602,0.71413,0.99248,0.81756,0.0050896,0.0050896,0.0050896
126,2663.57,0.50117,0.71538,0.9922,0.82587,0.00505,0.00505,0.00505
127,2685.17,0.50753,0.71552,0.99206,0.83367,0.0050104,0.0050104,0.0050104
128,2706.63,0.49447,0.71649,0.99164,0.84628,0.0049708,0.0049708,0.0049708
129,2728.59,0.48978,0.7151,0.99178,0.82359,0.0049312,0.0049312,0.0049312
130,2750.53,0.4873,0.71427,0.99164,0.82141,0.0048916,0.0048916,0.0048916
131,2772.39,0.48917,0.71259,0.99136,0.8296,0.004852,0.004852,0.004852
132,2794.16,0.47304,0.71259,0.9915,0.83129,0.0048124,0.0048124,0.0048124
133,2815.76,0.47457,0.71371,0.99164,0.83286,0.0047728,0.0047728,0.0047728
134,2837.49,0.47768,0.71343,0.99136,0.84276,0.0047332,0.0047332,0.0047332
135,2859.19,0.46557,0.71232,0.99136,0.84552,0.0046936,0.0046936,0.0046936
136,2880.99,0.47094,0.71273,0.99136,0.84805,0.004654,0.004654,0.004654
137,2902.71,0.4671,0.71204,0.99136,0.86194,0.0046144,0.0046144,0.0046144
138,2924.41,0.45516,0.71232,0.99136,0.84341,0.0045748,0.0045748,0.0045748
139,2946.19,0.45266,0.71259,0.99136,0.87001,0.0045352,0.0045352,0.0045352
140,2967.89,0.44961,0.71287,0.9915,0.85977,0.0044956,0.0044956,0.0044956
141,2989.63,0.44944,0.71259,0.99164,0.85233,0.004456,0.004456,0.004456
142,3011.12,0.43835,0.71245,0.99178,0.86709,0.0044164,0.0044164,0.0044164
143,3032.66,0.44838,0.71232,0.99178,0.86728,0.0043768,0.0043768,0.0043768
144,3054.48,0.43654,0.71357,0.99136,0.86413,0.0043372,0.0043372,0.0043372
145,3076.57,0.43008,0.71301,0.99122,0.86274,0.0042976,0.0042976,0.0042976
146,3098.84,0.426,0.71273,0.99108,0.86638,0.004258,0.004258,0.004258
147,3120.76,0.42487,0.71273,0.99081,0.87308,0.0042184,0.0042184,0.0042184
148,3142.62,0.42236,0.71273,0.99108,0.88925,0.0041788,0.0041788,0.0041788
149,3164.58,0.42338,0.71315,0.99136,0.87739,0.0041392,0.0041392,0.0041392
150,3186.07,0.41649,0.71329,0.99122,0.88439,0.0040996,0.0040996,0.0040996
151,3207.47,0.41209,0.71329,0.99108,0.91224,0.00406,0.00406,0.00406
152,3229.23,0.41036,0.71413,0.99108,0.8949,0.0040204,0.0040204,0.0040204
153,3250.72,0.40849,0.71329,0.99108,0.89624,0.0039808,0.0039808,0.0039808
154,3272.27,0.39975,0.71357,0.99094,0.91179,0.0039412,0.0039412,0.0039412
155,3293.78,0.39195,0.71357,0.99094,0.90512,0.0039016,0.0039016,0.0039016
156,3315.86,0.39106,0.71385,0.99081,0.9176,0.003862,0.003862,0.003862
157,3337.55,0.39079,0.71343,0.99122,0.91004,0.0038224,0.0038224,0.0038224
158,3359.47,0.39207,0.71357,0.99108,0.92398,0.0037828,0.0037828,0.0037828
159,3381.14,0.38738,0.71385,0.99108,0.91172,0.0037432,0.0037432,0.0037432
160,3403.32,0.37604,0.71315,0.99122,0.92223,0.0037036,0.0037036,0.0037036
161,3424.92,0.3691,0.71399,0.99108,0.92815,0.003664,0.003664,0.003664
162,3446.81,0.37354,0.71315,0.99081,0.93639,0.0036244,0.0036244,0.0036244
163,3468.66,0.37739,0.71357,0.99108,0.94874,0.0035848,0.0035848,0.0035848
164,3490.14,0.36731,0.71343,0.99067,0.93181,0.0035452,0.0035452,0.0035452
165,3512.16,0.3612,0.71204,0.99067,0.93825,0.0035056,0.0035056,0.0035056
